threshold,precision,recall,f1
0.1,0.3745928338762215,0.9913793103448276,0.5437352245862884
0.11,0.3770491803278688,0.9913793103448276,0.5463182897862233
0.12000000000000001,0.3795379537953795,0.9913793103448276,0.548926014319809
0.13,0.3814262023217247,0.9913793103448276,0.5508982035928144
0.14,0.38397328881469117,0.9913793103448276,0.5535499398315282
0.15000000000000002,0.38617200674536256,0.9870689655172413,0.5551515151515152
0.16,0.39145299145299145,0.9870689655172413,0.5605875152998776
0.17,0.3931034482758621,0.9827586206896551,0.5615763546798029
0.18,0.39652173913043476,0.9827586206896551,0.5650557620817844
0.19,0.4007029876977153,0.9827586206896551,0.5692883895131086
0.2,0.4049733570159858,0.9827586206896551,0.5735849056603773
0.21000000000000002,0.41081081081081083,0.9827586206896551,0.579415501905972
0.22,0.4175824175824176,0.9827586206896551,0.5861182519280206
0.23,0.41589648798521256,0.9698275862068966,0.5821474773609314
0.24000000000000002,0.41947565543071164,0.9655172413793104,0.5848563968668408
0.25,0.4218455743879473,0.9655172413793104,0.5871559633027523
0.26,0.4277456647398844,0.9568965517241379,0.5912117177097204
0.27,0.4324853228962818,0.9525862068965517,0.594885598923284
0.28,0.4393638170974155,0.9525862068965517,0.601360544217687
0.29000000000000004,0.4462474645030426,0.9482758620689655,0.6068965517241379
0.30000000000000004,0.45134575569358176,0.9396551724137931,0.6097902097902098
0.31,0.4570230607966457,0.9396551724137931,0.614950634696756
0.32,0.4607218683651805,0.9353448275862069,0.6173541963015647
0.33,0.4625267665952891,0.9310344827586207,0.6180257510729614
0.33999999999999997,0.4645161290322581,0.9310344827586207,0.6197991391678622
0.35,0.47240618101545256,0.9224137931034483,0.6248175182481752
0.36,0.48072562358276644,0.9137931034482759,0.6300148588410104
0.37,0.48735632183908045,0.9137931034482759,0.6356821589205397
0.38,0.4940898345153664,0.9008620689655172,0.6381679389312978
0.39,0.4964200477326969,0.896551724137931,0.6390168970814132
0.4,0.5012048192771085,0.896551724137931,0.642967542503864
0.41000000000000003,0.5073529411764706,0.8922413793103449,0.646875
0.42000000000000004,0.5125628140703518,0.8793103448275862,0.6476190476190476
0.43000000000000005,0.5167095115681234,0.8663793103448276,0.6473429951690821
0.44000000000000006,0.5289473684210526,0.8663793103448276,0.6568627450980392
0.45000000000000007,0.5407608695652174,0.8577586206896551,0.6633333333333333
0.45999999999999996,0.547752808988764,0.8405172413793104,0.6632653061224489
0.47,0.5395894428152492,0.7931034482758621,0.6422338568935427
0.48,0.5331325301204819,0.7629310344827587,0.6276595744680851
0.49,0.5353846153846153,0.75,0.6247755834829444
0.5,0.5382165605095541,0.728448275862069,0.6190476190476191
0.51,0.5463576158940397,0.7112068965517241,0.6179775280898876
0.52,0.5418060200668896,0.6982758620689655,0.6101694915254238
0.53,0.5463917525773195,0.6853448275862069,0.6080305927342257
0.54,0.548951048951049,0.6767241379310345,0.6061776061776062
0.55,0.5531914893617021,0.6724137931034483,0.6070038910505836
0.56,0.5551601423487544,0.6724137931034483,0.6081871345029239
0.5700000000000001,0.5571428571428572,0.6724137931034483,0.609375
0.58,0.5611510791366906,0.6724137931034483,0.611764705882353
0.59,0.5703703703703704,0.6637931034482759,0.6135458167330677
0.6,0.5813953488372093,0.646551724137931,0.6122448979591837
0.61,0.5823293172690763,0.625,0.6029106029106029
0.62,0.5875,0.6077586206896551,0.597457627118644
0.63,0.5921052631578947,0.5818965517241379,0.5869565217391305
0.64,0.5904761904761905,0.5344827586206896,0.5610859728506787
0.65,0.6,0.5043103448275862,0.5480093676814989
0.66,0.6111111111111112,0.47413793103448276,0.5339805825242718
0.67,0.6036585365853658,0.4267241379310345,0.5
0.6799999999999999,0.610738255033557,0.3922413793103448,0.4776902887139108
0.69,0.6194029850746269,0.3577586206896552,0.453551912568306
0.7,0.6347826086956522,0.3146551724137931,0.4207492795389049
0.71,0.6346153846153846,0.28448275862068967,0.39285714285714285
0.72,0.6043956043956044,0.23706896551724138,0.34055727554179566
0.73,0.5903614457831325,0.21120689655172414,0.3111111111111111
0.74,0.6060606060606061,0.1724137931034483,0.2684563758389262
0.75,0.6363636363636364,0.15086206896551724,0.24390243902439024
0.76,0.6153846153846154,0.10344827586206896,0.17712177121771217
0.77,0.5806451612903226,0.07758620689655173,0.13688212927756654
0.78,0.5652173913043478,0.05603448275862069,0.10196078431372549
0.79,0.5833333333333334,0.03017241379310345,0.05737704918032787
0.8,1.0,0.021551724137931036,0.04219409282700422
0.8099999999999999,1.0,0.017241379310344827,0.03389830508474576
0.82,1.0,0.01293103448275862,0.02553191489361702
0.83,1.0,0.008620689655172414,0.017094017094017096
0.84,1.0,0.008620689655172414,0.017094017094017096
0.85,1.0,0.008620689655172414,0.017094017094017096
0.86,1.0,0.008620689655172414,0.017094017094017096
0.87,1.0,0.008620689655172414,0.017094017094017096
0.88,0.0,0.0,0.0
0.89,0.0,0.0,0.0
0.9,0.0,0.0,0.0
